song,artist
Flowers,Miley Cyrus
Kill Bill,SZA
Last Night,Morgan Wallen
Unholy,Sam Smith & Kim Petras
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Cuff It,Beyonce
Anti-Hero,Taylor Swift
Die For You,The Weeknd
I'm Good (Blue),David Guetta & Bebe Rexha
As It Was,Harry Styles
Rich Flex,Drake & 21 Savage
Just Wanna Rock,Lil Uzi Vert
Thought You Should Know,Morgan Wallen
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Made You Look,Meghan Trainor
Under The Influence,Chris Brown
Golden Hour,JVKE
You Proof,Morgan Wallen
Rock And A Hard Place,Bailey Zimmerman
Something In The Orange,Zach Bryan
Thank God,Kane Brown With Katelyn Brown
Bad Habit,Steve Lacy
"Going, Going, Gone",Luke Combs
Escapism,RAYE Featuring 070 Shake
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Lavender Haze,Taylor Swift
Calm Down,Rema & Selena Gomez
Players,Coi Leray
Shirt,SZA
Sure Thing,Miguel
The Kind Of Love We Make,Luke Combs
Heart Like A Truck,Lainey Wilson
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Snooze,SZA
Until I Found You,Stephen Sanchez
Wait For U,Future Featuring Drake & Tems
I Like You (A Happier Song),Post Malone Featuring Doja Cat
I Wrote The Book,Morgan Wallen
Bebe Dame,Fuerza Regida X Grupo Frontera
Tomorrow 2,GloRilla & Cardi B
About Damn Time,Lizzo
Wait In The Truck,HARDY Featuring Lainey Wilson
She Had Me At Heads Carolina,Cole Swindell
Nobody Gets Me,SZA
What My World Spins Around,Jordan Davis
Unstoppable,Sia
One Thing At A Time,Morgan Wallen
Whiskey On You,Nate Smith
Dawns,Zach Bryan Featuring Maggie Rogers
Love Again,The Kid LAROI
Everything I Love,Morgan Wallen
Lift Me Up,Rihanna
Que Vuelvas,Carin Leon X Grupo Frontera
Low,SZA
Tennessee Orange,Megan Moroney
X Si Volvemos,Karol G x Romeo Santos
Bloody Mary,Lady Gaga
Handle On You,Parker McCollum
What He Didn't Do,Carly Pearce
Freestyle,Lil Baby
Wild As Her,Corey Kent
Spin Bout U,Drake & 21 Savage
You Didn't,Brett Young
Growin' Up And Gettin' Old,Luke Combs
Nonsense,Sabrina Carpenter
Here With Me,d4vd
The Color Violet,Tory Lanez
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
10:35,Tiesto Featuring Tate McRae
La Bachata,Manuel Turizo
Forget Me,Lewis Capaldi
Shut Up My Moms Calling,Hotel Ugly
Blind,SZA
OMG,NewJeans
No Se Va,Grupo Frontera
Love You Better,Future
La Jumpa,Arcangel & Bad Bunny
PRC,Peso Pluma X Natanael Cano
That's What Tequila Does,Jason Aldean
Love Language,SZA
Tennessee Fan,Morgan Wallen
Ditto,NewJeans
Watch The World Burn,Falling In Reverse
Human,Cody Johnson
In Ha Mood,Ice Spice
Back End,Finesse2Tymes
Do It Again,NLE Choppa & 2Rare
Hey Mor,Ozuna Featuring Feid
Too Many Nights,Metro Boomin Featuring Don Toliver & Future
Ghost In The Machine,SZA Featuring Phoebe Bridgers
Fin de Semana,Junior H X Oscar Maydon
Snap,Rosa Linn
California Breeze,Lil Baby
I'm Not Here To Make Friends,Sam Smith
Gato de Noche,Nengo Flow & Bad Bunny
Yandel 150,Yandel & Feid
Heart To Heart,Mac DeMarco
Next Thing You Know,Jordan Davis
Never Gonna Not Dance Again,P!nk
Open Arms,SZA Featuring Travis Scott
